 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     1         0 @OracleD/src/DataLogger.jl  204 print_summary(datalogger::Main.Or…
     1         0 @Base/io.jl             410 open(::Main.OracleD.var"#print_su…
     1         0 @julialib/julia/sys.so    ? jfptr_open_63059.1
     1         0 @Base/iostream.jl       379 open(fname::String, mode::String)
     1         0 @Base/iostream.jl       380 open(fname::String, mode::String;…
     1         0 @Base/iostream.jl       296 open
     1         0 @Base/iostream.jl       314 open(fname::String; lock::Bool, r…
     1         0 @juliasrc/support/ios.c  972 ios_file
     1         0 @juliasrc/support/ios.c  929 open_cloexec
     1         0 /lib64/libc.so.6          ? __open64
     1         0 @OracleD/src/DataLogger.jl  195 print_summary(datalogger::Main.Or…
     1         1 @Base/task.jl          1141 try_yieldto(undo::typeof(Base.ens…
     1         0 @OracleD/src/Jobs.jl     43 Job
     1         0 @OracleD/src/Jobs.jl     30 Job
     1         1 @juliasrc/gc-stock.c    770 jl_gc_small_alloc_inner
     1         1 @juliasrc/gc-stock.c   1420 gc_sweep_pool
     1         0 @juliasrc/gc-pages.c    113 jl_gc_alloc_page
     1         1 @juliasrc/gc-stock.h    302 gc_alloc_map_set
     1         1 @OracleD/src/DataLogger.jl   97 job_finish!(datalogger::Main.Orac…
     1         1 @Base/intfuncs.jl       912 append_c_digits_fast(olength::Int…
     1         0 @Base/array.jl         1132 (::Base.var"#_growend!##0#_growen…
     1         0 @Base/intfuncs.jl       665 bit_ndigits0z
     1         1 @Base/int.jl             88 *
     1         1 @juliasrc/gc-stock.c    980 gc_sweep_pool_page
     1         1 @juliasrc/gc-stock.c    877 gc_sweep_page
     1         1 @juliasrc/genericmemory.c   31 jl_alloc_genericmemory_unchecked
     1         1 @Base/array.jl            ? findnext
     1         0 @Base/strings/io.jl     145 print_to_string(::String, ::Int64)
     1         0 @juliasrc/datatype.c   1844 ijl_get_nth_field
     1         1 @juliasrc/julia_internal.h  644 undefref_check
     1         0 @OracleD/src/JobScheduler.jl  108 update!(scheduler::Main.OracleD.J…
     1         1 @OrderedCollections/src/ordered_dict.jl  460 iterate
     1         1 @juliasrc/genericmemory.c  228 jl_genericmemory_copyto
     1         1 @juliasrc/rtutils.c     266 ijl_enter_handler
     1         1 @juliasrc/gc-stock.c   1269 gc_sweep_pool_parallel
     1         0 @juliasrc/gc-stock.c    636 jl_gc_free_memory
     1         0 @Base/iobuffer.jl       229 GenericIOBuffer
     1         0 @Base/iobuffer.jl       241 #IOBuffer#389
     1         0 @Base/iobuffer.jl       152 GenericIOBuffer
     1         1 @juliasrc/gc-stock.c    728 jl_gc_small_alloc_inner
     1         0 @OracleD/src/Cluster.jl  295 update!(cluster::Main.OracleD.Clu…
     1         1 @juliasrc/gc-stock.c   3835 ijl_gc_managed_malloc
     1         1 @juliasrc/genericmemory.c  297 jl_genericmemory_copyto
     1         1 @Base/task.jl           945 workqueue_for(tid::Int64)
     1         1 @juliasrc/gc-stock.c    961 gc_sweep_page
     1         1 @juliasrc/gc-stock.c    853 gc_sweep_page
     1         0 @Base/intfuncs.jl       877 append_c_digits(olength::Int64, d…
     1         0 @Base/genericmemory.jl  260 setindex!
     1         1 @Base/genericmemory.jl  253 _setindex!
     1         0 @OracleD/src/WorkerNode.jl  228 start_job!(worker_node::Main.Orac…
     1         0 @juliasrc/gc-pages.c    111 jl_gc_alloc_page
     1         0 @OracleD/src/WorkerNode.jl  359 update!(worker_node::Main.OracleD…
     1         0 @juliasrc/gc-stock.c    806 jl_gc_alloc_
     1         1 @juliasrc/julia.h       133 jl_set_typeof
     1         0 @Base/intfuncs.jl       873 append_c_digits(olength::Int64, d…
     1         0 @Base/div.jl            196 divrem
     1         0 @Base/div.jl            219 divrem
     1         1 @Base/strings/io.jl     140 print_to_string(::String, ::Int64)
     1         0 @juliasrc/julia_threads.h  342 maybe_collect
     1         1 @juliasrc/julia_threads.h  349 jl_gc_state_set
     1         0 @Base/array.jl         2393 findnext
     1         0 @Base/operators.jl     1194 Fix
     1         0 @Base/operators.jl     1194 #_#58
     1         1 @Base/float.jl          621 ==
     1         0 @juliasrc/gc-stock.c   3838 ijl_gc_managed_malloc
     1         1 @juliasrc/builtins.c    244 ijl_egal__bitstag
     1         0 @Base/strings/string.jl   71 String
     1         1 @juliasrc/genericmemory.c  205 jl_genericmemory_to_string
     1         1 @juliasrc/gc-stock.c    744 jl_gc_small_alloc_inner
     1         0 @OracleD/src/DataLogger.jl   98 job_finish!(datalogger::Main.Orac…
     1         0 @OracleD/src/Cluster.jl  235 update!(cluster::Main.OracleD.Clu…
     1         0 @Base/strings/search.jl  782 occursin
     1         1 @Base/strings/search.jl  297 _searchindex(s::Base.CodeUnits{UI…
     1         1 @juliasrc/genericmemory.c  230 jl_genericmemory_copyto
