 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     1         0 @OracleD/src/DataLogger.jl  204 print_summary(datalogger::Main.Or…
     1         0 @Base/iostream.jl       310 open(fname::String; lock::Bool, r…
     1         0 @Base/iostream.jl        32 IOStream
     1         0 @Base/iostream.jl        28 IOStream
     1         0 @Base/gcutils.jl         86 finalizer
     1         1 @juliasrc/gc-common.c   424 jl_gc_add_finalizer_
     1         0 @Dates/src/accessors.jl   59 day
     1         0 @Dates/src/accessors.jl   31 day(days::Int64)
     1         1 @OracleD/src/WorkerNode.jl  227 start_job!(worker_node::Main.Orac…
     1         0 @juliasrc/genericmemory.c  198 jl_genericmemory_to_string
     1         1 @juliasrc/julia.h      1354 jl_genericmemory_how
     1         0 @juliasrc/julia.h      1594 jl_field_isptr
     1         1 @juliasrc/julia.h      1550 jl_fielddesc_size
     1         0 @Base/array.jl         2393 findnext
     1         0 @Base/operators.jl     1194 Fix
     1         0 @Base/operators.jl     1194 #_#58
     1         1 @Base/float.jl          621 ==
     1         1 /lib64/libc.so.6          ? __sigsetjmp
     1         1 @juliasrc/gc-stock.c    779 ijl_gc_small_alloc
     1         1 @juliasrc/genericmemory.c  190 jl_genericmemory_to_string
     1         1 @juliasrc/gc-stock.h    287 gc_alloc_map_is_set
     1         1 @juliasrc/rtutils.c     367 ijl_excstack_state
     1         0 @OracleD/src/JobScheduler.jl   92 update!(scheduler::Main.OracleD.J…
     1         1 @juliasrc/builtins.c    246 ijl_egal__bitstag
     1         1 @juliasrc/genericmemory.c  111 jl_string_to_genericmemory
     1         0 @Base/strings/io.jl     145 print_to_string(::String, ::Int64)
     1         0 @Dates/src/io.jl        206 format
     1         0 @Dates/src/accessors.jl   55 year
     1         0 @Dates/src/accessors.jl   12 year(days::Int64)
     1         0 @Base/div.jl            370 div
     1         0 @Base/div.jl            325 div
     1         1 @Base/int.jl            301 div
     1         1 @Base/intfuncs.jl       884 append_c_digits(olength::Int64, d…
     1         0 @juliasrc/datatype.c   1811 ijl_get_nth_field
     1         1 @juliasrc/builtins.c    244 ijl_egal__bitstag
     1         0 @juliasrc/gc-stock.c   3487 ijl_gc_collect
     1         0 @juliasrc/safepoint.c   228 jl_safepoint_end_gc
     1         0 @juliasrc/safepoint.c    72 jl_safepoint_disable
     1         0 @juliasrc/safepoint.c    87 jl_safepoint_disable
     1         0 @juliasrc/gc-stock.c    882 gc_sweep_page
     1         1 @juliasrc/gc-page-profiler.h   41 gc_page_profile_write_empty_page
     1         1 @juliasrc/gc-stock.c    853 gc_sweep_page
     1         0 @juliasrc/gc-stock.c    636 jl_gc_free_memory
     1         0 @juliasrc/gc-stock.c   3838 ijl_gc_managed_malloc
     1         0 @Base/strings/search.jl  304 _searchindex(s::Base.CodeUnits{UI…
     1         1 @juliasrc/gc-stock.c    711 gc_add_page
     1         1 @Base/intfuncs.jl       916 dec(x::UInt64, pad::Int64, neg::B…
     1         1 @juliasrc/gc-stock.c    744 jl_gc_small_alloc_inner
     1         0 @Base/array.jl         1136 (::Base.var"#_growend!##0#_growen…
     1         0 @juliasrc/julia.h      1592 jl_field_isptr
     1         1 @Base/strings/io.jl       ? _str_sizehint
     1         0 @Base/array.jl         2391 findnext
     1         0 @OracleD/src/Cluster.jl  184 update!(cluster::Main.OracleD.Clu…
     1         1 @Base/intfuncs.jl         ? ndigits0zpb(x::UInt64, b::Int64)
     1         0 @juliasrc/datatype.c   1813 ijl_get_nth_field
     1         1 @juliasrc/julia.h      1586 jl_field_offset
     1         0 @Base/array.jl         1132 (::Base.var"#_growend!##0#_growen…
     1         0 @Dates/src/accessors.jl   22 month(days::Int64)
     1         0 @OracleD/src/WorkerNode.jl  350 update!(worker_node::Main.OracleD…
     1         0 @OracleD/src/Jobs.jl     59 set_duration!
     1         0 @Base/operators.jl      321 !=
     1         0 @Dates/src/types.jl     474 ==
     1         0 @Base/float.jl          921 Int64
     1         1 @Base/float.jl          420 unsafe_trunc
     1         0 @OracleD/src/Jobs.jl     58 set_duration!
     1         0 @juliasrc/gc-stock.c    806 jl_gc_alloc_
     1         1 @juliasrc/julia.h       133 jl_set_typeof
     1         1 @juliasrc/gc-stock.c   2452 gc_mark_outrefs
     1         0 @juliasrc/gc-stock.c   2431 gc_mark_outrefs
     1         0 @juliasrc/gc-stock.c   1913 gc_mark_memory8
     1         0 @juliasrc/gc-stock.c   2377 gc_mark_outrefs
     1         1 @juliasrc/julia.h      1351 jl_genericmemory_how
     1         1 @juliasrc/work-stealing-queue.h   81 ws_queue_pop
     1         1 @juliasrc/gc-stock.c   2241 gc_mark_outrefs
     1         1 @juliasrc/gc-stock.c   1794 gc_mark_objarray
     1         1 @juliasrc/gc-stock.c   2262 gc_mark_outrefs
     1         1 @juliasrc/gc-stock.c   2237 gc_mark_outrefs
