 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     1         0 @OracleD/diagnostics.jl  340 phase2_profiling()
     1         0 @Profile/src/Profile.jl  686 fetch
     1         0 @Profile/src/Profile.jl  698 fetch(; include_meta::Bool, limit…
     1         0 @OracleD/src/Simulation.jl  353 start!(simulation::Main.OracleD.S…
     1         0 @OracleD/src/DataLogger.jl  199 print_summary(datalogger::Main.Or…
     1         0 @juliasrc/support/ios.c  687 ios_close
     1         0 @juliasrc/support/ios.c  640 ios_flush
     1         0 @juliasrc/support/ios.c  654 ios_flush
     1         0 @juliasrc/support/ios.c  171 _os_write_all
     1         0 @juliasrc/support/ios.c  150 _os_write
     1         0 @juliasrc/genericmemory.c  108 jl_string_to_genericmemory
     1         1 …t-12/cli/loader_exe.c   15 jl_get_pgcstack_static
     1         0 @Base/iobuffer.jl       611 ensureroom
     1         0 @Base/iobuffer.jl       654 ensureroom_slowpath(io::IOBuffer,…
     1         0 @Base/iobuffer.jl       544 _resize!(io::IOBuffer, new_size::…
     1         0 @Base/iobuffer.jl       296 _similar_data
     1         1 @Base/int.jl              ? print_to_string(::String, ::Int64)
     1         0 @OracleD/src/Cluster.jl  235 update!(cluster::Main.OracleD.Clu…
     1         0 @Base/strings/search.jl  782 occursin
     1         1 @Base/strings/search.jl  297 _searchindex(s::Base.CodeUnits{UI…
     1         0 @Base/intfuncs.jl       881 append_c_digits(olength::Int64, d…
     1         0 @Base/promotion.jl      491 rem
     1         1 @Base/int.jl            304 rem
     1         1 @juliasrc/genericmemory.c   31 jl_alloc_genericmemory_unchecked
     1         0 @Base/strings/string.jl  163 ==
     1         0 @juliasrc/builtins.c    240 jl_egal__unboxed
     1         1 @juliasrc/julia.h      1871 jl_egal__unboxed_
     1         0 @juliasrc/gc-stock.c    882 gc_sweep_page
     1         1 @juliasrc/gc-page-profiler.h   41 gc_page_profile_write_empty_page
     1         0 @Base/strings/substring.jl  236 string
     1         0 @OracleD/src/WorkerNode.jl  341 update!(worker_node::Main.OracleD…
     1         0 @OracleD/src/Time.jl    130 get_current_datetime
     1         1 @juliasrc/datatype.c   1809 ijl_get_nth_field
     1         1 @juliasrc/gc-stock.c    744 jl_gc_small_alloc_inner
     1         1 @juliasrc/gc-stock.c    877 gc_sweep_page
     1         1 @juliasrc/gc-stock.c    660 sweep_malloced_memory
     1         1 @juliasrc/genericmemory.c   53 jl_alloc_genericmemory_unchecked
     1         1 @juliasrc/datatype.c   1122 ijl_new_bits
     1         1 @OracleD/src/JobScheduler.jl   91 update!(scheduler::Main.OracleD.J…
     1         1 @Base/task.jl          1213 poptask(W::Base.IntrusiveLinkedLi…
     1         1 @Base/strings/io.jl      39 print(io::IOBuffer, x::Int64)
     1         0 @Base/strings/io.jl     145 print_to_string(::String, ::Int64)
     1         1 @Dates/src/accessors.jl   13 year(days::Int64)
     1         0 @juliasrc/gc-stock.c   3838 ijl_gc_managed_malloc
     1         1 @juliasrc/genericmemory.c  218 jl_genericmemory_to_string
     1         0 @Base/boot.jl           647 Array
     1         0 @juliasrc/gc-stock.c    807 jl_gc_alloc_
     1         1 @juliasrc/gc-alloc-profiler.h   42 maybe_record_alloc_to_profile
     1         1 /lib64/libc.so.6          ? __sigjmp_save
     1         0 @OracleD/src/Jobs.jl     59 set_duration!
     1         0 @Base/operators.jl      321 !=
     1         0 @Dates/src/types.jl     474 ==
     1         1 @Base/promotion.jl      637 ==
     1         0 @OracleD/src/WorkerNode.jl  353 update!(worker_node::Main.OracleD…
     1         0 …libuv/src/unix/core.c  420 uv_run
     1         0 …libuv/src/unix/core.c  824 uv__run_pending
     1         0 …buv/src/unix/stream.c 1227 uv__stream_io
     1         1 @julialib/julia/sys.so    ? jlcapi_uv_writecb_task_32254.1
     1         1 @juliasrc/gc-stock.c    315 gc_setmark
     1         0 @Base/iobuffer.jl       259 #IOBuffer#390
     1         1 @Base/Base_compiler.jl    ? write(io::IOBuffer, c::Char)
     1         1 @Base/intfuncs.jl       992 string(n::Int64; base::Int64, pad…
     1         1 @juliasrc/gc-stock.c    745 jl_gc_small_alloc_inner
     1         1 @Base/io.jl             867 write(io::IOBuffer, c::Char)
     1         0 @juliasrc/genericmemory.c  198 jl_genericmemory_to_string
     1         1 @juliasrc/julia.h      1354 jl_genericmemory_how
     1         1 @juliasrc/genericmemory.c  237 jl_genericmemory_copyto
     1         0 @Base/intfuncs.jl       873 append_c_digits(olength::Int64, d…
     1         0 @Base/div.jl            196 divrem
     1         0 @Base/div.jl            218 divrem
     1         0 @Base/div.jl             64 div
     1         0 @Base/div.jl            360 div
     1         1 @Base/int.jl            303 div
     1         0 @juliasrc/gc-stock.c   3433 ijl_gc_collect
