 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     1         0 @OracleD/src/Simulation.jl  361 start!(simulation::Main.OracleD.S…
     1         0 @OracleD/src/DataLogger.jl  204 print_summary(datalogger::Main.Or…
     1         0 @OracleD/src/DataLogger.jl  199 print_summary(datalogger::Main.Or…
     1         0 @Base/io.jl             414 open(::Main.OracleD.var"#print_su…
     1         0 @Base/iostream.jl        43 close(s::IOStream)
     1         0 @juliasrc/support/ios.c  687 ios_close
     1         0 @juliasrc/support/ios.c  640 ios_flush
     1         0 @juliasrc/support/ios.c  654 ios_flush
     1         0 @juliasrc/support/ios.c  171 _os_write_all
     1         0 @juliasrc/support/ios.c  150 _os_write
     1         1 @Base/intfuncs.jl       709 ndigits0zpb(x::Int64, b::Int64)
     1         0 @Base/int.jl           1015 -
     1         0 @juliasrc/gc-stock.c   1838 gc_mark_objarray
     1         1 @juliasrc/gc-heap-snapshot.h   77 gc_heap_snapshot_record_array_edge
     1         1 @OracleD/src/DataLogger.jl   82 job_start!(datalogger::Main.Oracl…
     1         1 @juliasrc/gc-common.c   540 jl_gc_alloc
     1         0 @Base/iobuffer.jl       611 ensureroom
     1         1 @Base/iobuffer.jl       535 _resize!(io::IOBuffer, new_size::…
     1         0 @Base/array.jl         1136 (::Base.var"#_growend!##0#_growen…
     1         1 @Base/int.jl             88 *
     1         0 @juliasrc/datatype.c   1844 ijl_get_nth_field
     1         1 @juliasrc/julia_internal.h  644 undefref_check
     1         1 /lib64/libc.so.6          ? __memset_avx512_unaligned
     1         1 @juliasrc/gc-stock.c   1416 gc_sweep_pool
     1         1 @juliasrc/gc-stock.c   1374 gc_sweep_pool
     1         0 @juliasrc/gc-stock.c   2321 gc_mark_outrefs
     1         1 @juliasrc/gc-stock.c   2069 gc_mark_stack
     1         0 @OracleD/src/Cluster.jl  196 update!(cluster::Main.OracleD.Clu…
     1         1 @juliasrc/array.c       292 ijl_alloc_string
     1         0 @juliasrc/gc-stock.c   1311 gc_free_pages
     1         1 @juliasrc/gc-stock.h    192 pop_lf_back
     1         0 @juliasrc/gc-stock.c    882 gc_sweep_page
     1         1 @juliasrc/gc-page-profiler.h   41 gc_page_profile_write_empty_page
     1         0 @OracleD/src/WorkerNode.jl  228 start_job!(worker_node::Main.Orac…
     1         0 @OracleD/src/WorkerNode.jl  357 update!(worker_node::Main.OracleD…
     1         1 @juliasrc/gc-stock.c   2493 gc_mark_outrefs
     1         1 @juliasrc/gc-stock.c    730 jl_gc_small_alloc_inner
     1         1 @juliasrc/gc-stock.c   3840 ijl_gc_managed_malloc
     1         1 @juliasrc/gc-stock.c   2238 gc_mark_outrefs
     1         1 @juliasrc/gc-page-profiler.c   36 gc_page_serializer_init
     1         1 @juliasrc/gc-stock.c    661 sweep_malloced_memory
     1         1 @juliasrc/gc-stock.c    970 gc_sweep_page
     1         1 @Base/intfuncs.jl       884 append_c_digits(olength::Int64, d…
     1         1 @Base/strings/io.jl      32 print(io::IOBuffer, x::Int64)
     1         1 @Dates/src/accessors.jl   10 year(days::Int64)
     1         0 @juliasrc/gc-stock.c    961 gc_sweep_page
     1         1 @juliasrc/gc-page-profiler.c  111 gc_page_profile_write_to_file
     1         0 @juliasrc/gc-stock.c   1318 gc_free_pages
     1         1 @juliasrc/gc-stock.c   1192 gc_sweep_prescan
     1         1 @juliasrc/gc-stock.c    240 gc_try_setmark_tag
     1         0 @juliasrc/gc-stock.c   3433 ijl_gc_collect
     1         0 @juliasrc/safepoint.c   214 jl_safepoint_start_gc
     1         0 @juliasrc/safepoint.c    50 jl_safepoint_enable
     1         0 @juliasrc/safepoint.c    67 jl_safepoint_enable
     1         1 @juliasrc/gc-stock.c    932 gc_sweep_page
     1         1 @juliasrc/datatype.c   1819 ijl_get_nth_field
     1         1 @Base/array.jl            ? (::Base.var"#_growend!##0#_growen…
     1         0 @Base/array.jl         1123 _growend!
     1         0 @juliasrc/gc-stock.c   3063 _jl_gc_collect
     1         0 @juliasrc/gc-stock.c   2822 gc_queue_remset
     1         0 @juliasrc/gc-stock.c   1606 gc_ptr_queue_push
     1         1 @juliasrc/work-stealing-queue.h   54 ws_queue_push
     1         0 @Base/strings/substring.jl  254 _string(::String, ::Vararg{String…
     1         1 @Base/iobuffer.jl       626 ensureroom_slowpath(io::IOBuffer,…
     1         0 @OracleD/src/WorkerNode.jl  342 update!(worker_node::Main.OracleD…
     1         0 @Base/array.jl          405 getindex
     1         1 @juliasrc/rtutils.c     266 ijl_enter_handler
     1         0 @OracleD/src/Cluster.jl  235 update!(cluster::Main.OracleD.Clu…
     1         0 @Base/strings/search.jl  782 occursin
     1         0 @Base/strings/search.jl  294 _searchindex(s::String, t::String…
     1         0 @Base/strings/search.jl  304 _searchindex(s::Base.CodeUnits{UI…
     1         1 /lib64/libc.so.6          ? __errno_location
     1         0 @juliasrc/gc-stock.c   3838 ijl_gc_managed_malloc
     1         1 @julialib/…ulia-internal.so.1.12    ? [unknown function]
     1         0 @juliasrc/gc-stock.c   3487 ijl_gc_collect
     1         0 @juliasrc/safepoint.c   228 jl_safepoint_end_gc
     1         0 @juliasrc/safepoint.c    72 jl_safepoint_disable
     1         0 @juliasrc/safepoint.c    87 jl_safepoint_disable
     1         0 /lib64/libc.so.6          ? systrim.constprop.0
     1         1 @juliasrc/gc-stock.c   1807 gc_mark_objarray
     1         1 @juliasrc/gc-stock.c    302 gc_setmark_pool_
     1         1 @juliasrc/gc-stock.c   2516 gc_mark_loop_serial_
     1         1 @juliasrc/gc-stock.c    248 gc_try_setmark_tag
     1         0 @OracleD/src/DataLogger.jl   98 job_finish!(datalogger::Main.Orac…
     1         1 @juliasrc/builtins.c    276 ijl_egal__bitstag
     1         1 @juliasrc/genericmemory.c  237 jl_genericmemory_copyto
     1         0 @OracleD/src/WorkerNode.jl  350 update!(worker_node::Main.OracleD…
     1         0 @OracleD/src/Jobs.jl     59 set_duration!
     1         0 @Dates/src/types.jl     474 ==
     1         0 @OracleD/src/Time.jl    130 get_current_datetime
     1         1 @Base/array.jl         1153 (::Base.var"#_growend!##0#_growen…
