 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     1         0 @Base/io.jl             414 open(::Main.OracleD.var"#print_su…
     1         0 @Base/iostream.jl        43 close(s::IOStream)
     1         0 @juliasrc/support/ios.c  689 ios_close
     1         0 /lib64/libc.so.6          ? __close
     1         0 @OracleD/src/DataLogger.jl  206 #print_summary##2
     1         0 @JSON/src/Writer.jl     381 print
     1         0 @JSON/src/Writer.jl     357 show_json
     1         0 @JSON/src/Writer.jl     359 show_json(io::IOStream, s::JSON.S…
     1         0 @JSON/src/Writer.jl     297 show_json
     1         0 @JSON/src/Writer.jl     291 recursive_cycle_check(f::JSON.Wri…
     1         0 @JSON/src/Writer.jl     300 (::JSON.Writer.var"#show_json##0#…
     1         0 @JSON/src/Writer.jl     259 show_pair(io::JSON.Writer.PrettyC…
     1         0 @JSON/src/Writer.jl     257 show_pair(io::JSON.Writer.PrettyC…
     1         0 @JSON/src/Writer.jl     323 show_json
     1         0 @JSON/src/Writer.jl     326 (::JSON.Writer.var"#show_json##4#…
     1         0 @juliasrc/gf.c         4210 ijl_apply_generic
     1         0 @juliasrc/gf.c         4141 jl_lookup_generic_
     1         0 @juliasrc/gf.c         3072 lookup_arg_type_tuple
     1         0 @juliasrc/jltypes.c    1139 lookup_typevalue
     1         1 @juliasrc/jltypes.c    1067 lookup_type_setvalue
     1         0 @OracleD/src/DataLogger.jl  199 print_summary(datalogger::Main.Or…
     1         0 @OracleD/src/WorkerNode.jl  351 update!(worker_node::Main.OracleD…
     1         0 @OracleD/src/DataLogger.jl   98 job_finish!(datalogger::Main.Orac…
     1         1 @juliasrc/builtins.c    246 ijl_egal__bitstag
     1         1 @juliasrc/genericmemory.c  228 jl_genericmemory_copyto
     1         1 @juliasrc/gc-stock.c    728 jl_gc_small_alloc_inner
     1         0 @juliasrc/gc-stock.c   1318 gc_free_pages
     1         1 @juliasrc/gc-stock.c    877 gc_sweep_page
     1         0 @juliasrc/gc-stock.c   3825 ijl_gc_managed_malloc
     1         1 @juliasrc/gc-stock.c    350 maybe_collect
     1         0 @Base/strings/search.jl  294 _searchindex(s::String, t::String…
     1         0 @Base/strings/search.jl  304 _searchindex(s::Base.CodeUnits{UI…
     1         1 @juliasrc/gc-stock.c    869 gc_sweep_page
     1         1 @juliasrc/gc-stock.c    980 gc_sweep_pool_page
     1         0 @juliasrc/gc-stock.c   3433 ijl_gc_collect
     1         0 @juliasrc/safepoint.c   214 jl_safepoint_start_gc
     1         0 @juliasrc/safepoint.c    50 jl_safepoint_enable
     1         0 @juliasrc/safepoint.c    67 jl_safepoint_enable
     1         1 /lib64/libc.so.6          ? __mprotect
     1         1 @Base/strings/search.jl  297 _searchindex(s::Base.CodeUnits{UI…
     1         0 @OracleD/src/WorkerNode.jl  353 update!(worker_node::Main.OracleD…
     1         1 @Base/Base_compiler.jl   58 setproperty!
     1         0 @juliasrc/genericmemory.c   47 jl_alloc_genericmemory_unchecked
     1         0 @juliasrc/support/arraylist.c  136 small_arraylist_push
     1         1 @juliasrc/support/arraylist.c  111 small_arraylist_grow
     1         1 @Base/intfuncs.jl       992 string(n::Int64; base::Int64, pad…
     1         1 @Base/strings/substring.jl  240 _string(::String, ::Vararg{String…
     1         1 @Base/strings/io.jl     140 print_to_string(::String, ::Int64)
     1         0 @Base/array.jl         1129 _growend!
     1         1 @juliasrc/gc-stock.c    973 gc_sweep_page
     1         1 @OracleD/src/Time.jl    105 advance!(simulation_time::Main.Or…
     1         1 @juliasrc/gc-stock.c    863 gc_sweep_page
     1         0 @juliasrc/gc-stock.c   1460 gc_sweep_pool
     1         1 @juliasrc/gc-stock.c    841 gc_dump_page_utilization_data
     1         0 @juliasrc/gc-stock.c    806 jl_gc_alloc_
     1         1 @juliasrc/julia.h       133 jl_set_typeof
     1         1 @juliasrc/gc-stock.c    829 gc_update_page_fragmentation_data
     1         1 @juliasrc/gc-stock.c   1830 gc_mark_objarray
     1         0 @juliasrc/gc-stock.c   3824 ijl_gc_managed_malloc
     1         1 …t-12/cli/loader_exe.c   15 jl_get_pgcstack_static
     1         1 @juliasrc/genericmemory.c  113 jl_string_to_genericmemory
     1         0 @Base/strings/substring.jl  254 _string(::String, ::Vararg{String…
     1         0 @juliasrc/gc-stock.c   3838 ijl_gc_managed_malloc
     1         1 @juliasrc/gc-stock.c    922 gc_sweep_page
     1         1 @juliasrc/gc-stock.h    287 gc_alloc_map_is_set
     1         0 @juliasrc/gc-stock.c    708 gc_add_page
     1         1 @juliasrc/gc-stock.h    159 push_lf_back
