 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
   264         0 @Base/Base.jl           352 (::Base.var"#start_profile_listen…
   264         0 @Base/Base.jl           306 include(mod::Module, _path::Strin…
   264         0 @Base/Base.jl           332 profile_printing_listener(cond::B…
   233         0 @Base/abstractarray.jl  824 similar
   233         0 @Base/abstractarray.jl  832 similar
     1         1 @Base/array.jl         1131 (::Base.var"#_growend!##0#_growen…
     6         0 @Base/array.jl         1148 (::Base.var"#_growend!##0#_growen…
   233         0 @Base/array.jl          738 _collect(cont::UnitRange{Int64}, …
     2         1 @Base/array.jl          739 _collect(cont::UnitRange{Int64}, …
     2         0 @Base/array.jl          740 _collect(cont::UnitRange{Int64}, …
     4         0 @Base/array.jl          741 _collect(cont::UnitRange{Int64}, …
     6         0 @Base/array.jl         1131 _growend!
     6         0 @Base/array.jl         1292 _push!
   233         0 @Base/array.jl          660 _similar_for
     6         0 @Base/array.jl         1067 array_new_memory
   242         0 @Base/array.jl          728 collect
     6         0 @Base/array.jl          901 iterate
     6         0 @Base/array.jl         1289 push!
   264         0 @Base/asyncevent.jl     185 _trywait(t::Base.AsyncCondition)
   233         0 @Base/boot.jl           648 Array
   233         0 @Base/boot.jl           660 Array
     6         0 @Base/boot.jl           588 GenericMemory
   264         0 @Base/boot.jl           489 eval(m::Module, e::Any)
   264         0 @Base/client.jl         550 _start()
   264         0 @Base/client.jl         317 exec_options(opts::Base.JLOptions)
   264         0 @Base/condition.jl      141 wait(c::Base.GenericCondition{Bas…
   264         0 @Base/condition.jl      136 wait
     1         0 @Base/coreio.jl           5 println
     2         2 @Base/essentials.jl     920 getindex
     1         1 @Base/essentials.jl       ? update!(cluster::Main.OracleD.Clu…
     1         1 @Base/float.jl          623 <
     1         1 @Base/int.jl             87 +
     1         0 @Base/int.jl           1015 +
     7         7 @Base/int.jl             83 <
     4         4 @Base/int.jl            519 <
     1         1 @Base/int.jl            520 <=
     2         0 @Base/io.jl             707 #362
     2         0 @Base/io.jl             412 open(f::Base.var"#362#363"{Base.P…
     1         0 @Base/io.jl             414 open(::Main.OracleD.var"#print_su…
     2         0 @Base/io.jl             706 #readlines#360
     2         0 @Base/io.jl             710 #readlines#364
     1         0 @Base/io.jl            1237 iterate(itr::Base.EachLine{IOStre…
     3         0 @Base/io.jl             409 open
     2         0 @Base/io.jl             705 readlines
     2         0 @Base/io.jl             710 readlines
     1         0 @Base/iostream.jl        43 close(s::IOStream)
     1         0 @Base/iostream.jl        42 eof(s::IOStream)
   264         0 @Base/loading.jl       2934 _include(mapexpr::Function, mod::…
   264         0 @Base/loading.jl       2874 include_string(mapexpr::typeof(id…
     1         0 @Base/lock.jl           176 _trylock(rl::ReentrantLock, ct::T…
     1         0 @Base/lock.jl           195 lock
     1         0 @Base/lock.jl           171 trylock
     8         0 @Base/operators.jl      425 >
     1         0 @Base/stream.jl        1154 unsafe_write(s::Base.TTY, p::Ptr{…
     1         0 @Base/stream.jl        1069 uv_write(s::Base.TTY, p::Ptr{UInt…
     1         0 @Base/stream.jl        1114 uv_write_async(s::Base.TTY, p::Pt…
