 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     1         0 @OracleD/src/DataLogger.jl  206 #print_summary##2
     1         0 @JSON/src/Writer.jl     381 print
     1         0 @JSON/src/Writer.jl     357 show_json
     1         0 @JSON/src/Writer.jl     359 show_json(io::IOStream, s::JSON.S…
     1         0 @JSON/src/Writer.jl     297 show_json
     1         0 @JSON/src/Writer.jl     291 recursive_cycle_check(f::JSON.Wri…
     1         0 @JSON/src/Writer.jl     301 (::JSON.Writer.var"#show_json##0#…
     1         0 @OrderedCollections/src/ordered_dict.jl  460 iterate
     1         0 @OracleD/src/DataLogger.jl  199 print_summary(datalogger::Main.Or…
     1         0 @juliasrc/datatype.c   1813 ijl_get_nth_field
     1         1 @juliasrc/julia.h      1586 jl_field_offset
     1         1 @OracleD/src/WorkerNode.jl  340 update!(worker_node::Main.OracleD…
     1         1 @Dates/src/accessors.jl   20 month(days::Int64)
     1         1 @Base/strings/io.jl     140 print_to_string(::String, ::Int64)
     1         1 @juliasrc/gc-stock.c   2371 gc_mark_outrefs
     1         0 @juliasrc/gc-stock.c    704 gc_add_page
     1         0 @Base/intfuncs.jl       664 bit_ndigits0z
     1         0 @Base/int.jl            515 top_set_bit
     1         1 @Base/int.jl            434 leading_zeros
     1         1 @Base/array.jl         1153 (::Base.var"#_growend!##0#_growen…
     1         0 @OracleD/src/WorkerNode.jl  227 start_job!(worker_node::Main.Orac…
     1         1 @OracleD/src/DataLogger.jl   82 job_start!(datalogger::Main.Oracl…
     1         1 @juliasrc/gc-stock.c   1830 gc_mark_objarray
     1         1 @juliasrc/gc-stock.c   1420 gc_sweep_pool
     1         1 @juliasrc/gc-stock.c   1114 sweep_stack_pool_loop
     1         0 @Base/strings/io.jl     153 print_to_string(::String, ::Int64)
     1         0 @Base/iobuffer.jl       804 _unsafe_take!
     1         1 @Base/boot.jl           594 memoryref
     1         1 @juliasrc/safepoint.c    62 jl_safepoint_enable
     1         1 @Base/iobuffer.jl       535 _resize!(io::IOBuffer, new_size::…
     1         0 @OracleD/src/Cluster.jl  184 update!(cluster::Main.OracleD.Clu…
     1         0 @Base/coreio.jl           5 println
     1         0 @Base/strings/io.jl      46 print(::Base.TTY, ::String, ::Str…
     1         0 @Dates/src/accessors.jl   57 month
     1         0 @Dates/src/accessors.jl   22 month(days::Int64)
     1         0 @juliasrc/gc-stock.c    961 gc_sweep_page
     1         1 @juliasrc/gc-page-profiler.c  111 gc_page_profile_write_to_file
     1         1 @juliasrc/gc-stock.c    242 gc_try_setmark_tag
     1         1 @juliasrc/genericmemory.c   53 jl_alloc_genericmemory_unchecked
     1         0 @OracleD/src/VOJobFactory.jl  193 create_job!
     1         0 @Base/iobuffer.jl       831 unsafe_write(to::IOBuffer, p::Ptr…
     1         0 @Base/iobuffer.jl       862 _unsafe_write
     1         0 @Base/array.jl          268 unsafe_copyto!
     1         0 @Base/cmem.jl            28 memmove
     1         1 /lib64/libc.so.6          ? __memmove_avx512_unaligned_erms
     1         1 @juliasrc/gc-page-profiler.c   36 gc_page_serializer_init
     1         0 @Base/operators.jl     1194 Fix
     1         0 @Base/operators.jl     1194 #_#58
     1         1 @Base/float.jl          621 ==
     1         0 @Base/int.jl           1015 -
     1         0 @Base/array.jl         1136 (::Base.var"#_growend!##0#_growen…
     1         1 @Base/int.jl             88 *
     1         1 @Base/intfuncs.jl       702 ndigits0zpb(x::UInt64, b::Int64)
     1         0 @juliasrc/gc-stock.c   2373 gc_mark_outrefs
     1         1 @OracleD/src/WorkerNode.jl  218 start_job!(worker_node::Main.Orac…
     1         0 @Base/iobuffer.jl       654 ensureroom_slowpath(io::IOBuffer,…
     1         0 @Base/iobuffer.jl       544 _resize!(io::IOBuffer, new_size::…
     1         0 @Base/iobuffer.jl       296 _similar_data
     1         0 @juliasrc/gc-stock.c   1838 gc_mark_objarray
     1         1 @juliasrc/gc-heap-snapshot.h   77 gc_heap_snapshot_record_array_edge
     1         1 @juliasrc/gc-stock.c   1050 sweep_stack_pool_loop
     1         0 @Base/array.jl         2391 findnext
     1         0 @juliasrc/genericmemory.c   47 jl_alloc_genericmemory_unchecked
     1         0 @juliasrc/support/arraylist.c  136 small_arraylist_push
     1         1 @juliasrc/support/arraylist.c  132 small_arraylist_grow
     1         0 @OracleD/src/WorkerNode.jl  357 update!(worker_node::Main.OracleD…
     1         1 @juliasrc/gc-stock.c    853 gc_sweep_page
     1         1 @juliasrc/gc-stock.c    963 gc_sweep_page
     1         1 @juliasrc/gc-stock.c   2066 gc_mark_stack
     1         0 @Base/div.jl            370 div
     1         0 @Base/div.jl            325 div
     1         1 @Base/int.jl            301 div
     1         1 @juliasrc/gc-stock.c    736 jl_gc_small_alloc_inner
