 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     1         0 @Base/io.jl             414 open(::Main.OracleD.var"#print_su…
     1         0 @Base/iostream.jl        43 close(s::IOStream)
     1         0 @juliasrc/support/ios.c  689 ios_close
     1         0 /lib64/libc.so.6          ? __close
     1         0 @Base/io.jl             410 open(::Main.OracleD.var"#print_su…
     1         0 @julialib/julia/sys.so    ? jfptr_open_63059.1
     1         0 @Base/iostream.jl       379 open(fname::String, mode::String)
     1         0 @Base/iostream.jl       380 open(fname::String, mode::String;…
     1         0 @Base/iostream.jl       296 open
     1         0 @Base/iostream.jl       314 open(fname::String; lock::Bool, r…
     1         0 @juliasrc/support/ios.c  972 ios_file
     1         0 @juliasrc/support/ios.c  929 open_cloexec
     1         0 /lib64/libc.so.6          ? __open64
     1         1 @Base/intfuncs.jl       916 dec(x::UInt64, pad::Int64, neg::B…
     1         1 @Base/int.jl            301 div
     1         1 @juliasrc/gc-stock.c    972 gc_sweep_page
     1         0 @Base/promotion.jl      491 rem
     1         1 @Base/int.jl            304 rem
     1         0 @Base/strings/substring.jl  236 string
     1         0 @Base/strings/substring.jl  254 _string(::String, ::Vararg{String…
     1         0 @Base/array.jl         3152 _wrap
     1         0 @OracleD/src/JobScheduler.jl  104 update!(scheduler::Main.OracleD.J…
     1         0 @OracleD/src/JobScheduler.jl   78 _hourly_factory
     1         0 @OracleD/src/Cluster.jl  299 update!(cluster::Main.OracleD.Clu…
     1         0 @OracleD/src/DataLogger.jl  118 energy_and_carbon_consumed!
     1         0 @OracleD/src/Cluster.jl  291 update!(cluster::Main.OracleD.Clu…
     1         0 @OracleD/src/WorkerNode.jl  255 timestep_power_dissipated
     1         1 @juliasrc/gc-stock.c   3842 ijl_gc_managed_malloc
     1         0 @Dates/src/accessors.jl   59 day
     1         0 @Dates/src/accessors.jl   33 day(days::Int64)
     1         1 @Base/array.jl            ? (::Base.var"#_growend!##0#_growen…
     1         1 @Base/strings/io.jl      32 print(io::IOBuffer, x::Int64)
     1         1 @Base/intfuncs.jl       992 string(n::Int64; base::Int64, pad…
     1         0 @juliasrc/datatype.c   1127 ijl_new_bits
     1         0 @OracleD/src/JobScheduler.jl  110 update!(scheduler::Main.OracleD.J…
     1         1 @Base/float.jl            ? Int64
     1         0 @OracleD/src/WorkerNode.jl  227 start_job!(worker_node::Main.Orac…
     1         0 @OracleD/src/DataLogger.jl   83 job_start!(datalogger::Main.Oracl…
     1         0 @juliasrc/gc-stock.c   1318 gc_free_pages
     1         1 @juliasrc/gc-stock.h    160 push_lf_back
     1         1 @juliasrc/gc-stock.c    864 gc_sweep_page
     1         0 @juliasrc/gc-stock.c   1393 gc_sweep_pool
     1         0 @juliasrc/gc-stock.c   1211 gc_sweep_wake_all_pages
     1         0 @juliasrc/gc-stock.c   1168 gc_sweep_prescan
     1         1 @juliasrc/gc-stock.h    152 pop_lf_back_nosync
     1         1 @juliasrc/gc-stock.c   3840 ijl_gc_managed_malloc
     1         1 @juliasrc/genericmemory.c  297 jl_genericmemory_copyto
     1         0 @Base/stream.jl        1081 uv_write(s::Base.TTY, p::Ptr{UInt…
     1         0 @Base/task.jl          1230 wait()
     1         0 @Base/libuv.jl          133 process_events
     1         0 @juliasrc/jl_uv.c       394 ijl_process_events
     1         0 …libuv/src/unix/core.c  430 uv_run
     1         0 …ibuv/src/unix/linux.c 1404 uv__io_poll
     1         0 /lib64/libc.so.6          ? epoll_pwait
     1         1 @juliasrc/gc-stock.c    732 jl_gc_small_alloc_inner
     1         0 @juliasrc/julia.h      1592 jl_field_isptr
     1         0 @juliasrc/gc-stock.c   3825 ijl_gc_managed_malloc
     1         1 @Base/intfuncs.jl         ? ndigits0zpb(x::UInt64, b::Int64)
     1         1 @juliasrc/gc-stock.c   1420 gc_sweep_pool
     1         1 @juliasrc/gc-stock.c    980 gc_sweep_pool_page
     1         0 @juliasrc/gc-stock.c   3432 ijl_gc_collect
     1         0 …libuv/src/unix/core.c  134 uv_hrtime
     1         0 …ibuv/src/unix/linux.c 1591 uv__hrtime
     1         0 /lib64/libc.so.6          ? clock_gettime
     1         1 linux-vdso.so.1           ? clock_gettime
     1         0 @OracleD/src/DataLogger.jl  102 job_finish!(datalogger::Main.Orac…
     1         1 @juliasrc/builtins.c    276 ijl_egal__bitstag
     1         1 @Base/iobuffer.jl       535 _resize!(io::IOBuffer, new_size::…
     1         1 @Base/intfuncs.jl         ? ndigits0z(x::Int64, b::Int64)
     1         1 @OracleD/src/Logging.jl  107 log_debug
