 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     1         0 @OracleD/diagnostics.jl  342 phase2_profiling()
     1         0 @OracleD/diagnostics.jl  343 #phase2_profiling##1
     1         0 @Profile/src/Profile.jl  271 kwcall(::@NamedTuple{format::Symb…
     1         0 @Profile/src/Profile.jl  686 fetch
     1         0 @Profile/src/Profile.jl  698 fetch(; include_meta::Bool, limit…
     1         0 @OracleD/src/DataLogger.jl  204 print_summary(datalogger::Main.Or…
     1         0 @OracleD/src/DataLogger.jl  199 print_summary(datalogger::Main.Or…
     1         1 @juliasrc/genericmemory.c   31 jl_alloc_genericmemory_unchecked
     1         0 @Base/array.jl         1127 _growend!
     1         1 @juliasrc/gc-stock.c   1173 gc_sweep_prescan
     1         0 @juliasrc/gc-stock.c    636 jl_gc_free_memory
     1         0 @Base/iobuffer.jl       829 unsafe_write(to::IOBuffer, p::Ptr…
     1         0 @juliasrc/gc-stock.c    953 gc_sweep_page
     1         1 @juliasrc/gc-stock.c    830 gc_update_page_fragmentation_data
     1         0 @juliasrc/gc-stock.c   2867 gc_mark_roots
     1         1 @juliasrc/gc-heap-snapshot.h   71 gc_heap_snapshot_record_array_edg…
     1         0 @Base/intfuncs.jl       877 append_c_digits(olength::Int64, d…
     1         0 @Base/genericmemory.jl  260 setindex!
     1         1 @Base/genericmemory.jl  253 _setindex!
     1         0 @juliasrc/gc-stock.c   3830 ijl_gc_managed_malloc
     1         1 /lib64/libc.so.6          ? __errno_location
     1         1 @Base/float.jl          469 round
     1         0 @Base/strings/substring.jl  255 _string(::String, ::Vararg{String…
     1         1 @juliasrc/gc-stock.c    732 jl_gc_small_alloc_inner
     1         1 @OracleD/src/DataLogger.jl   82 job_start!(datalogger::Main.Oracl…
     1         1 @juliasrc/threading.c   262 ijl_get_pgcstack
     1         0 @juliasrc/gc-stock.c   3838 ijl_gc_managed_malloc
     1         0 @Base/rounding.jl       480 _round_convert
     1         1 @Base/float.jl          920 Int64
     1         0 @OracleD/src/DataLogger.jl   83 job_start!(datalogger::Main.Oracl…
     1         0 @OracleD/src/Jobs.jl     59 set_duration!
     1         0 @Dates/src/types.jl     474 ==
     1         0 @Base/intfuncs.jl       872 append_c_digits(olength::Int64, d…
     1         1 @Base/int.jl            520 <=
     1         0 @juliasrc/gc-stock.c   3487 ijl_gc_collect
