 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     1         0 @OracleD/src/DataLogger.jl  204 print_summary(datalogger::Main.Or…
     1         0 @Base/io.jl             410 open(::Main.OracleD.var"#print_su…
     1         0 @julialib/julia/sys.so    ? jfptr_open_63059.1
     1         0 @Base/iostream.jl       379 open(fname::String, mode::String)
     1         0 @Base/iostream.jl       380 open(fname::String, mode::String;…
     1         0 @Base/iostream.jl       296 open
     1         0 @Base/iostream.jl       314 open(fname::String; lock::Bool, r…
     1         0 @juliasrc/support/ios.c  972 ios_file
     1         0 @juliasrc/support/ios.c  929 open_cloexec
     1         0 /lib64/libc.so.6          ? __open64
     1         0 @OracleD/src/DataLogger.jl  195 print_summary(datalogger::Main.Or…
     1         0 @Base/coreio.jl           3 print(x::String)
     1         0 @Base/strings/io.jl     248 print(io::Base.TTY, s::String)
     1         1 @OracleD/src/Cluster.jl  175 update!(cluster::Main.OracleD.Clu…
     1         0 @Base/intfuncs.jl       873 append_c_digits(olength::Int64, d…
     1         0 @Base/div.jl            196 divrem
     1         0 @Base/div.jl            219 divrem
     1         0 @OracleD/src/WorkerNode.jl  349 update!(worker_node::Main.OracleD…
     1         0 @Base/div.jl            371 div
     1         1 @Base/promotion.jl      637 ==
     1         1 @Base/array.jl         1131 (::Base.var"#_growend!##0#_growen…
     1         0 @Base/intfuncs.jl       877 append_c_digits(olength::Int64, d…
     1         0 @Base/genericmemory.jl  260 setindex!
     1         1 @Base/genericmemory.jl  253 _setindex!
     1         1 @juliasrc/gc-stock.c   1698 gc_mark_obj8
     1         0 @OracleD/src/WorkerNode.jl  228 start_job!(worker_node::Main.Orac…
     1         1 @juliasrc/support/arraylist.c  135 small_arraylist_push
     1         0 @Base/int.jl            287 mod
     1         0 @Base/div.jl            370 div
     1         0 @Base/div.jl            325 div
     1         1 @Base/int.jl            301 div
     1         0 @juliasrc/gc-stock.c   1318 gc_free_pages
     1         0 @Base/promotion.jl      649 min
     1         1 @juliasrc/gc-stock.c    980 gc_sweep_pool_page
     1         1 @juliasrc/gc-stock.c   1173 gc_sweep_prescan
     1         0 @Base/array.jl         1126 _growend!
     1         0 @juliasrc/gc-stock.c   3487 ijl_gc_collect
     1         0 @juliasrc/safepoint.c   227 jl_safepoint_end_gc
     1         0 @juliasrc/safepoint.c    72 jl_safepoint_disable
     1         0 @juliasrc/safepoint.c    87 jl_safepoint_disable
     1         0 @Dates/src/accessors.jl   59 day
     1         0 @Dates/src/accessors.jl   33 day(days::Int64)
     1         1 @Base/int.jl             88 *
     1         1 @juliasrc/gc-stock.h    287 gc_alloc_map_is_set
     1         1 @juliasrc/gc-stock.c    745 jl_gc_small_alloc_inner
     1         1 @juliasrc/threading.c   262 ijl_get_pgcstack
     1         1 @Base/array.jl         1156 (::Base.var"#_growend!##0#_growen…
     1         0 @Base/iobuffer.jl       229 GenericIOBuffer
     1         0 @Base/iobuffer.jl       241 #IOBuffer#389
     1         0 @Base/iobuffer.jl       152 GenericIOBuffer
     1         1 @juliasrc/genericmemory.c  192 jl_genericmemory_to_string
     1         1 @OracleD/src/WorkerNode.jl  218 start_job!(worker_node::Main.Orac…
     1         0 @OracleD/src/WorkerNode.jl  341 update!(worker_node::Main.OracleD…
     1         1 @juliasrc/builtins.c    276 ijl_egal__bitstag
     1         1 @juliasrc/gc-stock.c    912 gc_sweep_page
     1         0 @juliasrc/gc-stock.c   1371 gc_sweep_pool
     1         1 @juliasrc/gc-stock.c   1144 gc_pool_sync_nfree
     1         1 @juliasrc/datatype.c   1122 ijl_new_bits
     1         0 @Base/iobuffer.jl       823 unsafe_write(to::IOBuffer, p::Ptr…
     1         0 @Base/iobuffer.jl       611 ensureroom
     1         1 @Base/iobuffer.jl       535 _resize!(io::IOBuffer, new_size::…
     1         0 @OracleD/src/Cluster.jl  193 update!(cluster::Main.OracleD.Clu…
     1         0 @juliasrc/gc-stock.c   2090 gc_mark_stack
     1         1 @Base/intfuncs.jl       702 ndigits0zpb(x::UInt64, b::Int64)
     1         1 @Base/float.jl            ? Int64
     1         1 @juliasrc/gc-stock.c   3830 ijl_gc_managed_malloc
     1         0 @juliasrc/gc-stock.c   3076 _jl_gc_collect
     1         1 @juliasrc/gc-stock.c   2746 gc_mark_clean_reclaim_sets
     1         1 @juliasrc/gc-stock.c    294 gc_setmark_pool_
     1         0 @Base/boot.jl           647 Array
     1         1 @juliasrc/gc-stock.c    728 jl_gc_small_alloc_inner
     1         1 @juliasrc/genericmemory.c  228 jl_genericmemory_copyto
     1         0 @juliasrc/gc-stock.c    882 gc_sweep_page
     1         1 @juliasrc/gc-page-profiler.h   41 gc_page_profile_write_empty_page
     1         0 @OracleD/src/WorkerNode.jl  221 start_job!(worker_node::Main.Orac…
     1         0 @Base/iobuffer.jl       831 unsafe_write(to::IOBuffer, p::Ptr…
