 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     1         0 @Base/io.jl             414 open(::Main.OracleD.var"#print_su…
     1         0 @Base/iostream.jl        43 close(s::IOStream)
     1         0 @juliasrc/support/ios.c  687 ios_close
     1         0 @juliasrc/support/ios.c  640 ios_flush
     1         0 @juliasrc/support/ios.c  654 ios_flush
     1         0 @juliasrc/support/ios.c  171 _os_write_all
     1         0 @juliasrc/support/ios.c  150 _os_write
     1         0 @OracleD/src/DataLogger.jl  206 #print_summary##2
     1         0 @JSON/src/Writer.jl     381 print
     1         0 @JSON/src/Writer.jl     357 show_json
     1         0 @JSON/src/Writer.jl     359 show_json(io::IOStream, s::JSON.S…
     1         0 @JSON/src/Writer.jl     297 show_json
     1         0 @JSON/src/Writer.jl     291 recursive_cycle_check(f::JSON.Wri…
     1         0 @JSON/src/Writer.jl     300 (::JSON.Writer.var"#show_json##0#…
     1         0 @JSON/src/Writer.jl     259 show_pair(io::JSON.Writer.PrettyC…
     1         0 @JSON/src/Writer.jl     257 show_pair(io::JSON.Writer.PrettyC…
     1         0 @JSON/src/Writer.jl     256 show_pair(io::JSON.Writer.PrettyC…
     1         0 @JSON/src/Writer.jl     245 show_key(io::JSON.Writer.PrettyCo…
     1         0 @JSON/src/Writer.jl     214 show_string
     1         0 @Base/io.jl             322 unsafe_write(s::JSON.Writer.Strin…
     1         0 @JSON/src/Writer.jl     139 write
     1         0 @Base/io.jl             839 write
     1         0 @Base/io.jl             805 unsafe_write
     1         0 @Base/io.jl             322 unsafe_write
     1         1 @Base/boot.jl           821 unsafe_load
     1         0 @OracleD/src/DataLogger.jl  195 print_summary(datalogger::Main.Or…
     1         0 @OracleD/src/WorkerNode.jl  230 start_job!(worker_node::Main.Orac…
     1         0 @Base/promotion.jl      434 *
     1         1 @Base/float.jl          497 *
     1         1 @juliasrc/gc-stock.c    732 jl_gc_small_alloc_inner
     1         0 @OracleD/src/Jobs.jl     58 set_duration!
     1         1 @Base/Base_compiler.jl   58 setproperty!
     1         1 @juliasrc/gc-stock.c   1833 gc_mark_objarray
     1         1 @juliasrc/support/arraylist.c  135 small_arraylist_push
     1         0 @juliasrc/gc-pages.c    111 jl_gc_alloc_page
     1         0 @OracleD/src/Cluster.jl  291 update!(cluster::Main.OracleD.Clu…
     1         1 @Base/float.jl          495 +
     1         0 @juliasrc/julia_threads.h  342 maybe_collect
     1         1 @juliasrc/julia_threads.h  349 jl_gc_state_set
     1         1 @juliasrc/genericmemory.c  228 jl_genericmemory_copyto
     1         1 @Base/array.jl            ? (::Base.var"#_growend!##0#_growen…
     1         1 @juliasrc/genericmemory.c  113 jl_string_to_genericmemory
     1         1 @juliasrc/genericmemory.c   31 jl_alloc_genericmemory_unchecked
     1         1 @OracleD/src/Cluster.jl  175 update!(cluster::Main.OracleD.Clu…
     1         1 @Base/strings/io.jl      32 print(io::IOBuffer, x::Int64)
     1         1 @juliasrc/genericmemory.c  230 jl_genericmemory_copyto
     1         1 @juliasrc/gc-stock.c   1418 gc_sweep_pool
     1         0 @juliasrc/gc-stock.c    882 gc_sweep_page
     1         1 @juliasrc/gc-page-profiler.h   41 gc_page_profile_write_empty_page
     1         0 @juliasrc/gc-stock.c   3063 _jl_gc_collect
     1         0 @juliasrc/gc-stock.c   2822 gc_queue_remset
     1         1 @juliasrc/work-stealing-queue.h   54 ws_queue_push
     1         0 @OracleD/src/DataLogger.jl   98 job_finish!(datalogger::Main.Orac…
     1         1 @juliasrc/builtins.c    277 ijl_egal__bitstag
     1         1 @OracleD/src/WorkerNode.jl  218 start_job!(worker_node::Main.Orac…
     1         1 @Base/stream.jl        1195 uv_writecb_task(req::Ptr{Nothing}…
     1         0 @OracleD/src/JobScheduler.jl   92 update!(scheduler::Main.OracleD.J…
     1         1 @juliasrc/gc-stock.h    298 gc_alloc_map_set
     1         0 @Dates/src/io.jl        275 format
     1         0 @Base/char.jl           262 print
     1         0 @Base/io.jl             871 write(io::IOBuffer, c::Char)
     1         0 @Base/iobuffer.jl       872 write
     1         0 @Base/promotion.jl      648 max
     1         1 @Base/essentials.jl     799 ifelse
     1         0 @juliasrc/gc-stock.c   3830 ijl_gc_managed_malloc
     1         1 /lib64/libc.so.6          ? __errno_location
     1         1 @juliasrc/gc-stock.c    970 gc_sweep_page
     1         0 @juliasrc/gc-stock.c    963 gc_sweep_page
     1         1 @juliasrc/gc-stock.c   2447 gc_mark_outrefs
     1         0 @OracleD/src/VOJobFactory.jl  154 require_cores!
