 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     1         1 @juliasrc/array.c       291 ijl_alloc_string
     1         0 @Base/iobuffer.jl       804 _unsafe_take!
     1         1 @Base/boot.jl           594 memoryref
     1         1 @juliasrc/gc-stock.c   2275 gc_mark_outrefs
     1         0 @juliasrc/gc-stock.c   2321 gc_mark_outrefs
     1         0 @juliasrc/gc-stock.c   2090 gc_mark_stack
     1         0 @OracleD/src/Jobs.jl     72 set_start_time!
     1         1 @Base/float.jl            ? Int64
     1         1 @Base/intfuncs.jl       709 ndigits0zpb(x::UInt64, b::Int64)
     1         0 @juliasrc/julia_threads.h  342 maybe_collect
     1         1 @juliasrc/julia_threads.h  349 jl_gc_state_set
     1         1 @Base/Base_compiler.jl    ? update!(cluster::Main.OracleD.Clu…
     1         0 @OracleD/src/Cluster.jl  291 update!(cluster::Main.OracleD.Clu…
     1         1 @Base/float.jl          495 +
     1         0 @Base/iobuffer.jl       829 unsafe_write(to::IOBuffer, p::Ptr…
     1         1 @juliasrc/gc-page-profiler.c   36 gc_page_serializer_init
     1         1 @juliasrc/gc-stock.c   2368 gc_mark_outrefs
     1         0 @juliasrc/gc-stock.c   3838 ijl_gc_managed_malloc
     1         1 @juliasrc/gc-stock.c   1173 gc_sweep_prescan
     1         1 @juliasrc/gc-page-profiler.c  111 gc_page_profile_write_to_file
     1         1 @juliasrc/gc-stock.c   1139 gc_pool_sync_nfree
     1         1 @juliasrc/gc-stock.c   1698 gc_mark_obj8
     1         0 @Base/strings/string.jl   71 String
     1         1 @juliasrc/genericmemory.c  203 jl_genericmemory_to_string
     1         0 @OracleD/src/DataLogger.jl  102 job_finish!(datalogger::Main.Orac…
     1         0 @OracleD/src/WorkerNode.jl  341 update!(worker_node::Main.OracleD…
     1         1 @juliasrc/datatype.c   1809 ijl_get_nth_field
     1         0 @juliasrc/gc-stock.c   3844 ijl_gc_managed_malloc
     1         1 @juliasrc/gc-stock.c    417 jl_batch_accum_heap_size
     1         1 @OracleD/src/DataLogger.jl  105 job_finish!(datalogger::Main.Orac…
     1         1 @juliasrc/gc-stock.c   1264 gc_sweep_pool_parallel
     1         1 @juliasrc/gc-stock.c    972 gc_sweep_page
     1         1 @juliasrc/support/arraylist.c  135 small_arraylist_push
     1         0 @juliasrc/gc-stock.c   1353 gc_sweep_pool
     1         0 @juliasrc/support/dtypes.h  368 malloc_s
     1         1 /lib64/libc.so.6          ? malloc
     1         1 @OracleD/src/WorkerNode.jl  340 update!(worker_node::Main.OracleD…
     1         1 @OracleD/src/Cluster.jl  175 update!(cluster::Main.OracleD.Clu…
     1         0 @Dates/src/io.jl        679 format(dt::DateTime, fmt::DateFor…
     1         0 @Base/boot.jl           647 Array
     1         1 @juliasrc/builtins.c    276 ijl_egal__bitstag
     1         0 @juliasrc/safepoint.c   215 jl_safepoint_start_gc
     1         1 @juliasrc/array.c       302 ijl_alloc_string
     1         0 @OracleD/src/WorkerNode.jl  227 start_job!(worker_node::Main.Orac…
     1         0 @OracleD/src/DataLogger.jl   87 job_start!(datalogger::Main.Oracl…
     1         0 @OracleD/src/JobScheduler.jl   92 update!(scheduler::Main.OracleD.J…
     1         1 @juliasrc/gc-stock.c    851 gc_sweep_page
     1         0 @OracleD/src/JobScheduler.jl  104 update!(scheduler::Main.OracleD.J…
     1         0 @OracleD/src/JobScheduler.jl   78 _hourly_factory
     1         0 @juliasrc/builtins.c    240 jl_egal__unboxed
     1         1 @juliasrc/julia.h      1871 jl_egal__unboxed_
     1         0 @juliasrc/gc-stock.c   1693 gc_mark_obj8
     1         1 @juliasrc/gc-stock.c   1693 jl_assume_
     1         0 @Dates/src/io.jl        681 format(dt::DateTime, fmt::DateFor…
     1         0 @Base/strings/string.jl   64 String
     1         0 @Base/genericmemory.jl  183 copyto!
     1         0 @Base/genericmemory.jl  186 copyto!
     1         0 @Base/genericmemory.jl  143 unsafe_copyto!
     1         0 @Base/genericmemory.jl  125 unsafe_copyto!
     1         1 @Base/float.jl          469 round
     1         1 @Dates/src/io.jl        677 format(dt::DateTime, fmt::DateFor…
     1         1 @juliasrc/gc-stock.c    722 jl_gc_small_alloc_inner
     1         0 @Base/array.jl         1132 (::Base.var"#_growend!##0#_growen…
     1         0 @Base/intfuncs.jl       919 dec(x::UInt64, pad::Int64, neg::B…
     1         0 @Base/intfuncs.jl       911 append_c_digits_fast(olength::Int…
     1         1 @Base/intfuncs.jl       870 append_c_digits(olength::Int64, d…
     1         0 @OracleD/src/WorkerNode.jl  221 start_job!(worker_node::Main.Orac…
     1         1 @juliasrc/gc-stock.c    915 gc_sweep_page
     1         1 @juliasrc/gc-stock.c   2363 gc_mark_outrefs
     1         0 @Base/genericmemory.jl  119 unsafe_copyto!
     1         1 @Base/boot.jl           595 memoryref
     1         1 @juliasrc/gc-stock.c    294 gc_setmark_pool_
     1         1 @juliasrc/genericmemory.c  228 jl_genericmemory_copyto
     1         0 @Base/iobuffer.jl       654 ensureroom_slowpath(io::IOBuffer,…
     1         0 @Base/iobuffer.jl       544 _resize!(io::IOBuffer, new_size::…
     1         0 @Base/iobuffer.jl       296 _similar_data
     1         1 @juliasrc/gc-stock.c    860 gc_sweep_page
     1         0 @Base/intfuncs.jl       770 ndigits0z(x::Int64, b::Int64)
     1         0 @Base/intfuncs.jl       704 ndigits0zpb(x::Int64, b::Int64)
     1         1 @Base/promotion.jl      637 ==
     1         0 @juliasrc/gc-stock.c   2847 gc_mark_roots
     1         0 @juliasrc/gc-stock.c   1685 gc_try_claim_and_push
