 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     1         0 @juliasrc/support/ios.c  689 ios_close
     1         0 /lib64/libc.so.6          ? __close
     1         0 @OracleD/src/DataLogger.jl  199 print_summary(datalogger::Main.Or…
     1         0 @juliasrc/support/ios.c  687 ios_close
     1         0 @juliasrc/support/ios.c  640 ios_flush
     1         0 @juliasrc/support/ios.c  654 ios_flush
     1         0 @juliasrc/support/ios.c  171 _os_write_all
     1         0 @juliasrc/support/ios.c  150 _os_write
     1         0 @juliasrc/support/arraylist.c  136 small_arraylist_push
     1         1 @juliasrc/support/arraylist.c  111 small_arraylist_grow
     1         1 @juliasrc/datatype.c   1809 ijl_get_nth_field
     1         0 @Base/intfuncs.jl       770 ndigits0z(x::Int64, b::Int64)
     1         1 @juliasrc/gc-stock.c   1264 gc_sweep_pool_parallel
     1         0 @juliasrc/gc-stock.c    636 jl_gc_free_memory
     1         0 @juliasrc/gc-stock.c   3838 ijl_gc_managed_malloc
     1         0 @Base/stream.jl        1081 uv_write(s::Base.TTY, p::Ptr{UInt…
     1         1 @juliasrc/scheduler.c   552 ijl_task_get_next
     1         1 @juliasrc/gc-stock.c    350 maybe_collect
     1         0 @juliasrc/gc-stock.c   3850 ijl_gc_managed_malloc
     1         1 @juliasrc/gc-stock.c    735 jl_gc_small_alloc_inner
     1         0 @Base/strings/substring.jl  236 string
     1         0 @Base/strings/substring.jl  254 _string(::String, ::Vararg{String…
     1         1 @juliasrc/gc-stock.c    973 gc_sweep_page
     1         0 @OracleD/src/Simulation.jl  334 start!(simulation::Main.OracleD.S…
     1         1 @Base/float.jl            ? Int64
     1         1 /lib64/libc.so.6          ? __memset_avx512_unaligned
     1         1 @Base/intfuncs.jl       702 ndigits0zpb(x::Int64, b::Int64)
     1         1 @Base/array.jl            ? (::Base.var"#_growend!##0#_growen…
     1         0 @juliasrc/gc-stock.c    708 gc_add_page
     1         1 @juliasrc/gc-stock.h    159 push_lf_back
     1         1 @juliasrc/gc-stock.c   3823 ijl_gc_managed_malloc
     1         0 @Base/intfuncs.jl       877 append_c_digits(olength::Int64, d…
     1         0 @Base/genericmemory.jl  260 setindex!
     1         1 @Base/genericmemory.jl  253 _setindex!
     1         0 @Base/iobuffer.jl       825 unsafe_write(to::IOBuffer, p::Ptr…
     1         1 @juliasrc/array.c       305 ijl_alloc_string
     1         0 @Base/promotion.jl      649 min
     1         1 @juliasrc/datatype.c   1122 ijl_new_bits
     1         0 @OracleD/src/WorkerNode.jl  219 start_job!(worker_node::Main.Orac…
     1         1 @Base/intfuncs.jl       990 string(n::Int64; base::Int64, pad…
     1         1 @juliasrc/builtins.c    245 ijl_egal__bitstag
     1         0 @OracleD/src/DataLogger.jl   98 job_finish!(datalogger::Main.Orac…
     1         0 @OracleD/src/JobScheduler.jl  104 update!(scheduler::Main.OracleD.J…
     1         0 @OracleD/src/JobScheduler.jl   78 _hourly_factory
     1         1 @juliasrc/builtins.c    277 ijl_egal__bitstag
     1         1 @OracleD/src/DataLogger.jl   97 job_finish!(datalogger::Main.Orac…
     1         0 @OracleD/src/JobScheduler.jl  103 update!(scheduler::Main.OracleD.J…
     1         1 @OrderedCollections/src/ordered_dict.jl  455 iterate
     1         1 @juliasrc/gc-stock.c    918 gc_sweep_page
     1         1 @juliasrc/gc-stock.c    496 sweep_list_of_young_bigvals
     1         0 @juliasrc/gc-stock.c    506 sweep_list_of_young_bigvals
     1         1 @juliasrc/gc-stock.h    463 gc_big_object_unlink
     1         0 @juliasrc/gc-stock.c    319 gc_setmark
     1         1 @juliasrc/gc-stock.c    269 gc_setmark_big
     1         1 @juliasrc/gc-stock.c   2449 gc_mark_outrefs
     1         1 @juliasrc/gc-common.c   582 jl_genericmemory_nbytes
     1         0 @juliasrc/gc-stock.c   2491 gc_mark_outrefs
     1         0 @juliasrc/gc-stock.c   1781 gc_mark_obj32
     1         1 @juliasrc/gc-stock.c   1813 gc_mark_objarray
     1         0 @juliasrc/gc-stock.c   2280 gc_mark_outrefs
     1         0 @juliasrc/gc-stock.c   2142 gc_mark_module_binding
     1         1 @juliasrc/gc-stock.c   1683 gc_try_claim_and_push
     1         1 @juliasrc/gc-stock.c   1711 gc_mark_obj8
     1         0 @juliasrc/gc-stock.c   1848 gc_mark_objarray
     1         1 @juliasrc/gc-stock.c   2254 gc_mark_outrefs
     1         1 @juliasrc/gc-stock.c   2260 gc_mark_outrefs
     1         1 @juliasrc/gc-stock.c   2493 gc_mark_outrefs
     1         1 @juliasrc/work-stealing-queue.h   80 ws_queue_pop
     1         1 @juliasrc/gc-common.c   581 jl_genericmemory_nbytes
     1         1 @juliasrc/work-stealing-queue.h   67 ws_queue_push
     1         1 @juliasrc/work-stealing-queue.h   56 ws_queue_push
     1         1 @juliasrc/gc-stock.h    280 gc_alloc_map_is_set
     1         1 @juliasrc/gc-stock.c   2237 gc_mark_outrefs
     1         1 @juliasrc/work-stealing-queue.h   55 ws_queue_push
     1         1 @juliasrc/gc-stock.c   1841 gc_mark_objarray
     1         1 @juliasrc/gc-stock.c    315 gc_setmark
     1         0 @juliasrc/gc-stock.c   1838 gc_mark_objarray
     1         0 @juliasrc/gc-stock.c   3069 _jl_gc_collect
     1         0 @juliasrc/gc-stock.c   2866 gc_mark_roots
     1         0 @juliasrc/gc-stock.c    704 gc_add_page
     1         0 @juliasrc/gc-pages.c    113 jl_gc_alloc_page
     1         1 @juliasrc/gc-stock.h    298 gc_alloc_map_set
     1         1 @juliasrc/genericmemory.c  192 jl_genericmemory_to_string
     1         1 @juliasrc/staticdata.c 2336 gc_sweep_sysimg
     1         1 @juliasrc/staticdata.c 2329 gc_sweep_sysimg
     1         1 @juliasrc/gc-stock.c    919 gc_sweep_page
